"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"2171820001";"2171820001";"MOLEX_2171820001";"J10";"Check availability";"";
"3";"22";"R-EU_R0603";"R0603";"R8, R9, R10";"RESISTOR, European symbol";"";
"1";"220U";"CPOL-US150CLZ-1010";"150CLZ-1010";"C48";"POLARIZED CAPACITOR, American symbol";"";
"3";"22p";"C-EUC0603";"C0603";"C12, C13, C14";"CAPACITOR, European symbol";"";
"2";"22uF";"C-EUC0805";"C0805";"C15, C19";"CAPACITOR, European symbol";"";
"2";"2N7002";"MOSFET-NREFLOW";"SOT23";"Q7, Q8";"N-Channel Mosfet";"";
"1";"2k";"R-US_R0603";"R0603";"R17";"RESISTOR, American symbol";"";
"2";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"U7, U9";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";
"1";"30K";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"";
"1";"30k";"R-US_R0603";"R0603";"R4";"RESISTOR, American symbol";"";
"1";"30pF";"C-EUC0603";"C0603";"C1";"CAPACITOR, European symbol";"";
"1";"30Ω/1.8A";"FERRITE_BEAD-0603";"0603";"FB1";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";
"1";"330k";"R-US_R0603";"R0603";"R34";"RESISTOR, American symbol";"";
"1";"330u";"CPOL-EUD/7343-31R";"D/7343-31R";"C16";"POLARIZED CAPACITOR, European symbol";"";
"1";"33p";"C-EUC0603";"C0603";"C21";"CAPACITOR, European symbol";"";
"2";"4-1437652-0";"4-1437652-0";"TE_4-1437652-0";"J2, J9";"Check availability";"";
"1";"470R";"R-EU_R0603";"R0603";"R55";"RESISTOR, European symbol";"";
"5";"47K";"R-EU_R0603";"R0603";"R30, R32, R33, R38, R39";"RESISTOR, European symbol";"";
"1";"47k";"R-US_R0603";"R0603";"R18";"RESISTOR, American symbol";"";
"4";"4k7";"R-US_R0603";"R0603";"R1, R42, R43, R56";"RESISTOR, American symbol";"";
"1";"4x4 4,7uH";"SWPA4018S330MT";"SMD_4X4X1.8MM";"U$3";"Check availability";"";
"1";"50mR";"R-US_R2512";"R2512";"R36";"RESISTOR, American symbol";"";
"1";"510k";"R-US_R0603";"R0603";"R3";"RESISTOR, American symbol";"";
"1";"5K1";"R-EU_R0603";"R0603";"R51";"RESISTOR, European symbol";"";
"1";"6,8uH";"SLF10165T-6R8N4R33PF";"IND_SLF10165T-6R8N4R33PF";"L2";"Check availability";"";
"1";"6-1437652-8";"6-1437652-8";"TE_6-1437652-8";"J8";"Check availability";"";
"1";"693071020811";"693071020811";"693071020811";"MICROSD";"WR-CRD Micro SD Card Connector Push & Push 8 pins";"";
"2";"6V/0.75A";"PPTC_0.75A";"1206";"F3, F4";"Resettable Fuse PPTC";"";
"2";"6V/2A";"PPTC_6V2A";"1210";"F5, F7";"Resettable Fuse PPTC";"";
"1";"91k";"R-US_R0603";"R0603";"R31";"RESISTOR, American symbol";"";
"1";"AO3400-5.8A";"AO3400-5.8A";"SOT95P260X140-3N";"Q5";"";"";
"2";"AO3401";"PMOSFET_SOT23";"SOT23";"Q3, Q13";"P-Channel MOSFET - Generic";"";
"1";"AP63300WU-7";"AP63203WU-7";"SOT95P280X100-6N";"U$6";"";"";
"1";"BLM21PG300SN1D";"BLM21PG300SN1D";"BEADC2012X105N";"FL1";"Ferrite Beads Multi-Layer 30Ohm 100MHz 4A 14mOhm DCR 0805 T/R Check availability";"";
"1";"BLUE";"LEDCHIP-LED0603";"CHIP-LED0603";"RX_RS485";"LED";"";
"1";"BLUE/NET";"LEDCHIP-LED0603";"CHIP-LED0603";"LED2";"LED";"";
"1";"CH340K";"CH340K";"SOP100P600X160-11N";"U5";"Check availability";"";
"1";"DS3231MZ+TRL";"DS3231MZ+TRL";"SOIC127P600X175-8N";"U8";"Check availability";"";
"1";"DW01A";"DW01A";"SOT95P280X145-6N";"U4";"Check availability";"";
"1";"ESD56151W05-2/TR";"DIODESOD-323F";"SOD-323F";"D7";"Diode";"";
"1";"ESDA6V1W5";"ESDA6V1W5";"SOT65P210X110-5N";"D1";"ESDA Series 4 Channel 6.1V 90 pF SMT Uni Directional Transil Array - SOT-323-5L Check availability";"";
"1";"ESP32-WROOM-32(8MB)";"ESP32-WROOM-32(8MB)";"MODULE_ESP32-WROOM-32(8MB)";"ESP32";"WIFI MODULE 64 MBITS SPI FLASH";"";
"1";"ETQP5M150YFC";"ETQP5M150YFC";"IND_ETQP5M150YFC";"L1";"Check availability";"";
"1";"FS8205";"FS8205";"SOT95P280X145-6N";"Q4";"Dual N Channel Enhancement Mode Power MOSFET  Check availability";"";
"2";"GREEN";"LEDCHIP-LED0603";"CHIP-LED0603";"LED_USER, TX_RS485";"LED";"";
"2";"GREEN";"LEDCHIPLED_0603";"CHIPLED_0603";"RX1, TX1";"LED";"";
"1";"GREEN/CHRG";"LEDCHIP-LED0603";"CHIP-LED0603";"POWER1";"LED";"";
"1";"LM2587SX-5.0/NOPB";"LM2587SX-5.0/NOPB";"VREG_TPS79625KTTR";"U10";"Check availability";"";
"1";"LT3652HVEMSE#TRPBF";"LT3652HVEMSE#TRPBF";"MSOP-12_MSE";"U2";"Check availability";"";
"1";"MAX3485ESA+";"MAX3485ESA+";"SOIC127P600X175-8N";"U6";"Check availability";"";
